,Questions,"Responsible (0-Operator, 1-AI Agent)"
,Kredid qanday osam buladi,0
,Assalomu alaykum plastik kartag sms xabar noma yoqish kerak,0
,Assalomu alaykum 30 mart kuni 06:16 da kartamdan pul ôtkazmasi bôlgan shuni kim tomonidan ôtkazma qilingan men ôtkazmaganman,0
,Men kartam boshqa nomerga ulangan Shuni qanday oʻzgartirsam boʻladi,0
,Kartaga ulangan nomerni o'zgartirmoqchi edim,0
,Assalomu alaykum. Sqb kartasini yoqotib qoygandik. Shunga o'wa kartani bowqatdan olib bilamzmi,0
,Sms habarnoma ochmoqchiman,0
,Adalomu alaykum plastik kartaga sms yoqish kerak,0
,Assalomu alaykum Olmaliqda ochilgan plastikni toshkentdagi biror filialdan sms keladigan nomerini o‘zgartirsa bo‘ladimi?,0
,Humo kartasi bloklanib qolibdi Oʻshani blokirovkadan chiqarishiz kerak,0
,Tranzit va MFO raqam kerak edi,0
,Plastik kartamga telefon raqamimini ulamoqchiman,0
,Kartamni boshqa nomerga ozgartish kerak,0
,Prilojeniyaga kartami qoshib bomayapti,0
,Qancha qarizim bor xozirgi davrgacha,0
,Joyida ilovasiga karta qoshib bomayapti karta boridi yo Bob qoldi,0
,SQB mobile ilovamgga kira olmayapman qatib qoldi,0
,24 oylik omonat oshtirdim va undagi pulni sentyabr da qaytarib Ola olamanmi?,0
,Телефон рақамини узгартмоқчи эдим,0
,Ariza rad etlyapti sababini blsam boladimi,0
,Kreditim bor edi qoshmcha kredit ololamanmi,0
,Kredit uchun onlayn ariza tashagandim atvet yuq Qanca vaqtda ichida koʻrib chiqilsi,0
,Karta olgan edim sms kodi kelmayapdi,0
,Yangi ochilgan clikcga karta ulab bulmayapdi,0
,SQB mobile ilovamgga kira olmayapman qatib qoldi,0
,Sms xabarnomani ulawim kerek,0
,Mening kredit bôyicha arizamni kôrib chiqishmayapti,0
,Kartamni sms xabarnomaga ulamoqchiman,0
,Hamyondan qanday qilib pulni chiqarib olsa buladi,0
,Кредит учун кафил тасдиклашга жунатмлди деб келди Тасдиклаш кемаяпти,0
,Garov evaziga 1 mln Qanday rasmiylashtirsam boladi,1
,Mikroqarz yoki kredit jarta olmoqchiman Nima qilishim kerak,1
,Kreditga ariza topshirgandim qanchada javobi chiqadi,1
,Bugun banklar ishga tushdimi,1
,Man kecha adashib boshqa kartaga pul utkazib quyibman Shuni qandey qaytarib olsam buladi,0
,Kecha boshqa raqamdan menga pul otqizilgan edi Unda kvitansiya bor lekin menga kelib tushmagan,0
,Мени пластигм блок холата еди шуни блок холаттан шигаршим керак болиб турибти,0
,Ariza bergandm Qanday bilsam boʻladi,0
,Ака менинг пластигим иловода куринмаяпти,0
,Assalamu aleykum men mikro qarz olmoqchi edim asosiy shartlari qanaqa,0
,Assalomu aleykum kreditga ariza yubordim javobi kemayabdi,0
,Bank kartamni tiranzit raqami kerak,0
,Viza kartamnin shu nomerga ulab berin,0
,Onlayin omanat ochkan edim shu omanatni ham shu nomerga boglashka kerak,0
,Omanatni toldirish yoki yeshib olish imkoni bolmayapti,0
,Kanvertatsiya qilomayaman,0
,Visa kartamga pul otqozomayam.,0
,Sms xabarnoma nomerimi qanday ozgartisam boladi?,0
,Sqb ilova mendan foiz olyapti,0
,Master card ga kredit olmoqchi edim Qanday olsa boladi,0
,Kreditga ariza tashlagandik ko'rib chiqish qiyin bo'lyapti nimaga,0
,Kirim chiqim pdf kerak edi sqb kartamdagi 30 va 31 martniki,0
,Assalom alikum tel raqamimga sms kilmayapti,0
,Kiridit kartani qanday olsam boʻladi,0
,Man kiridit olmoqchiman Qanqa xujjatla kere bo’ladi,0
,Online kredit mavjudmi Olmoqchi edim foyizlari qanaqa,1
,Kartam biloklanib qoldi iltimos ochib beringlar,1
,Ассалому алейкум Виза картамдан пул ечолмаяпман,0
,Ассаломк алейкуи скб банк онлине кридит беряптими хозир,0
,Plastik kartani boshqa raqamga ulamoqchiman,0
,СМС активировать килиш кере картамни Humo,0
,Samarqanddanman shu yerdagi filyalida qoldirsam bo'ladimi?,0
,Men sqb mobile orqali kreditimga toʻlov qilmoqchi edim lekin baza ishlamayaptimi tushunolmadim. Yordam bera olasizmi?,0
,Men SQB mijaziman menga kredit ajiratiladimi,0
,Картага пул уткахмалар пайтида телефон ракамга смс келмайдиган килса буладимии ?,0
,Omonatimni to'ldirmoqchi edim shunaqa yozuv chiqyapti nima bu,0
,Onloyn kridit olmoqchi edim Nomer kriting deyapdi Boshqa nomer yozib yuborsam otmayapdi Qanday nomer yozsam boladi,0
,O'zini o'zi band qilgan tadbirkorlar uchun kredit olmoqchi edim,1
,Ассалому алайкум март ойи учун канча карзим бор билиб беринг,0
,menga kirim chiqim malumotini bering kerak bo'lar ekanda ariza uchun,0
,"Кредит олмоқчи эдим, иккита кафил қўшдим. Лекин кейинги босқичга ўтолмпяпман",0
,Shuni pochtamga ulab qoyish imkoni buladimi,0
,Канакасига микро кредит олсам буладп,1
,Qartamga ulangan raqamni ozgartirmoqchiman Yangi raqamga ulamoqchiman,0
,Ishsizman shunda qanday kredit olsam böladi sizlari banklaridan,0
,Karta bloklanib qolodi wuni ociw keregidi,0
,Sms xabarnomaga ulash kerak plastikimni,0
,"SQB dan olgan humo kartam eski nomeeomnga ulangan edi,hoz u nomerim oʻchib ketdi",0
,Bugun bank ishlavottimi,0
,Assalom aleykum menda joyda ilovasi orqali kredit rasmiylashtirishda muammo bor iltimos yordam bera olasizmi,0
,Kafil qanday javob beradi,0
,"Men Jozibali tarifi bo'yicha omonat qoymoqchi edim lekin, karta qoshish degan joyiga kartamni kirgiza olmayabman",0
,Mendan chiqqani kõrinyabdi cheki lekin tashlagan insonimga hali tushmadi,0
,Kartam bloklangan shuni ochish kere,0
,Бошка банкдан кредит ололмаяпман.,0
,Men kontrakt toʻlagan edim 1 mln kontrakt edudan chiqmayapti tolaganim,0
,Pul oʻtkazmalari iwlavotimi bank iwlavotimi?,0
,Kartani blokdan ochish kere,0
,Bugun bank ishlaydimi,1
,Meni humo kartam bloklanib qoldi,0
,SQB saytidan Kartaga buyurtma bergandim Buyurtmam qabul qilinganmi yo’qimi visa karta,0
,Man kartam bloklangan shuni ichidagi pulni boshqa kartaga yani onamni nomlariga otkizvolsam boladmi?,0
,Sqb bankdan olgan kartamni telefon raqamimga ulamoqchiman,0
,Identfikatsiyadan otmayapti shuni togirlashni iloji bormi,0
,Humo пластик учун смс хабарнома ёктирмокчиман,0
,Динарахон ман иловадан миуро карз олмочиман олиш тартибин ургатинг,0
,Хумо картами блокдан чикаришга ёрдам берин илтимос,0
,Bugun bank ishledimi fargona shahar,0
,Assalom aluykum onlayin kiredet areza bergandim javobi kelmayapti shuni biliberolasmi,0
,shu vertualni xozirgi yangi nomerimga utkazish kerak,0
,Kartamnbloklangan qanday ocishim mumkin,0
,Kredit qarzdorlikni tekshirib bering,0
,Viza kartam kurinmayapti,0
,humo kartamni nomerini yangi nomerga o’zgartirmoqchi edim,0
,Meni arizamni qanday holatda turganini bilib bersez,0
,Kredit yopilganligi toʻgʻrisida maʼlumotni qanday olsam buladi,0
,Пинкот билок булипколди Шуни очиш керак,0
,Assalom aleykum bugun bank ishlaydmi yoki yoq,0
,Elektron navbat ololmayabman,1
,Plastik kartam blokka tushib qolgan Shuni blokdan chiqarishga yordam bering,0
,Ассалом Алейкум менда sqb Хумо картасы бор шунга смс хабарнома уламокчы едым...,0
,Ushbu tolov Nima uchun yechib olinganligini jilmoqchiman,0
,Картамга 7 куни пул терилган эди тушмабди шуни билиб бера оласизми,0
,Assalomu alaykum nega mani joyda ilovamdan kartalarim o'chib ketdi,0
,"Мастер картамни узимни карталаримсиз, бошка бировни узкартаси еки хумо картаси, билан тулдириш мумкинми еки яна бошка",0
,Assalomu aleykum bugun ishlislami,1
,SQB bankdan 7mln so'm kredit olmoqchi edim kafil kerakmi 19 yoshdan oshganman,1
,sms хабарнома уламокчи эдим,1
,kredit omoqchi edim lekin arizangiz korib chiqilyabdi deb turibdi nechi kundan beri ushani ishlash tizimini tushuntirib bersangiz,0
,Ассалому алекум ман visa infinity картамдан 6 млн ошик пул ишлатдим лекин бизнеч залга доступ халигачам очилмади visa га йозган эдим уни банкингдан сора диди,0
,Qande kridit ose boladi,1
,Кредитим канча коган шуни биломайаман,0
,Ассалому алайкум менда СКБ карта бор шунга номеримни улатмокчи едим,1
,Assalomu alaykum kartamga ulangan raqamni uzgartirmoqchimam,0
,,0
,onlayn mikra qarz osa boladimi,0
,Ассалаума алейкум мен танишларимни тафлиф хаволаси оркали sqb банк иловасига кушганман лекин бонус пул берилмади,0
,Assalomu aleykum rasmiy ish joyim yoq ammo kredit tolashga qurbim yetadi kafil yordamida onlayn kreditga ariza topshirgan edim javobni kutayabmiz deyabdi ammo jabob kelmayabdi,0
,hozir men mikrokredet olishga ariza bergandim,0
,Asalomu aleykum mani mastercard kartam ilovaga bog'lanmayapti,0
,Menda sqv ilobasini oshishim ushim parol sorap tur,0
,Nega vertifikatsiyadan oʻtib bumayapdi,0
,Ariza berib koʻrdim lekin oxirigacha bordimi yoʻqmi shuni bilomadim,0
,Виртуал картани учиртирмокчи едим,0
,Joyda ilovasi orqali kodlab quyardim,0
,Kartam bulukadan chiqmayabdi,0
,"Assalomu alaykum, hozir ilovada kreditga ariza bergandim. Savatchada ham boshqa joyda ham arizam ko'rinmayapti.",0
,Kartamda sms.xizmatini yoqish kerag,0
,Kartam bulukadan chiqmayabdi,0
,"Мани uz картам блокланган,картами очиб берила",0
,Картани блоктан чикариб беринг,0
,Shu muammoni hal qilishda yordam bering,0
,Menga Tranzit Va MFO raqamim kerak edi,0
,Assalomu alaykum onlayn mikrokaqz olmoqchi edm lekn keyngisiga otmayabdi,0
,Kartani raqamga ulamoqchiman,0
,Kartamga ulangan tell raqamni yangi raqamimga ulamoqchiman,0
,Кредит туловини куриб беринг 1-туловни олганми автоматически ?,0
,Kartamni qushib bumayapti,0
,Картани блоктан шикариш керак,0
,Men onlayn mikroqarz olmoqchi edim. Lekin negadir ilova orqali olib bo‘lmayapti?,0
,Assalomu alaykum 02.03.2025 shu kuni kredit boʻyicha ariza topshirdim iltimos shuni tekshirib bering,0
,men qanday qilib kirdit olsam buladi ilovadan olib bulmayapt,0
,kredit karta olish uchun ariza bermoqchi edim bankga bormasdan,0
,кредит туланганми март ойи учун,0
,Kredit olmoqchi edim,1
,Assalawma aleykum kreditim bor edi mikro qarz shu oyda tolanganmi qancha qarz bor bilmoqchi edim,0
,Silarda ishonch telefon raqami bormi?,1
,Men Kridit omoqchi edim,1
,ariza javobi qachon chqadi,1
,Men joyda ilovasiga kiritilgan raqamimni òzgartirmoqchiman lekin ozgartirib bòlmayapti,1
,"Men kreditga ariza tashagan edim, ariza to'liq yakunlanmagan deyapti",0
,Bu nmasi ilova tez tez server deb qolyapti,0
,Platinum kartani telefon raqamga ulanmayapti,0
,Kredit olishga ariza qoldrebman oxrda keyingisga otmebti,0
,Assalomu alaykum Buyuk Birtaniya Davlatidan hisob raqamga SFIWT Kod orqali pul jo'natgan,0
,Kartam blok bugan edi shuni ochib bering,0
,Bank nomeri kerak,0
,Sqb kredit kartasi olsam boladimi bankga bormasdan,0
,Assalomu alaykum mikrokarz olmoqchi edm,0
,Assalomu alaykum . Programandan mikroqarz olib boʻlmayabdi,0
,Карта блокланган нотори код сабаб,0
,Vertual karta qanday oshiladi programma orqali,0
,Manga sms kod ulash kere,0
,Кридит текшириб беринг,0
,Biz Omonat qo'ygan edik Bu oy pul tushmadi,0
,Ochishga yordam bering,0
,Uzkard bloklanib qolgan shuni blokdan chiqarib bering iltimos,0
,joyida ilovasidan bloklagandim blokdan chiqmay qoldi,0
,Assalomu alaykum. Qarta ulangan telefon raqamini almashtirish kerak,0
,Kridet olish uchun kafil kiritgandm ammo kafilga hec qanday sms yoki tell borrmagan,0
,Sqb bank nomeri kerak,0
,Kredit boyicha online ariza qoldrganman,0
,Online mikroqarz ishlab turibdimi?,1
,Ariza bergan edim faqat zagruzka deb turibdi? Ketgan ketmagani haqqida ma'lumot yo'q?,0
,Ayni paytda 1 mln 900 qancha oʻzimni kiriditimga olindimi,0
,Kredit tolashim kerak qaysi hisob raqamiligini bilolmayapman,0
,Mening plastik kartamga ulangan telefon raqam o'chib ketkandi Shuni yangi raqamimga ulashni iloji bormi?,0
,Plastik kartamni blok holatida tushib qoldi. Ochishga yordam bersangiz,0
,Meni plastigimdagi hamma pulni sqb kredeti kesib ketdi,0
,ха шу омонатни шу жойини тушунмаябманда нималигини,0
,Oka man kirdet olmoqichiman,0
,Visa kartadagi pul aylanmasi haqida ma'lumotnomani qanday va qayerdan olsam bo'ladi,0
,Assalom aleykum kartam bloklandi,0
,Shuni kartayizni olgan bankdan aniqlashtirish deyishdi,0
,Shuni koʻrip berolasmi kartamga uzumdan pul tushganmi yoʻqmi,0
,Ассаломалайкум мени хумо картамни смс хизмаига ухлаб Беринг илтимос,0
,Menga bonus bermadi Shuni korib bera olaszmi,0
,kartamni blok qilgandim ochib bolmayabdi ochib beringla wuni,1
,"Vertual karta ochdim, lekin zagruzka qilaman disam shu oshibka chiqvotti",0
,Joyida ilovasida man kritid viza som kartam korinmayapti,0
,Xalqaro otkazma qilish jarayonida xatolik xolati,0
,Мен эрталаб банкка бориб микрокарз олмокчи булиб документ тайёрладим канчада тущади пул,0
,Meni plastik kartam pinkodga tushub qolgan shuni ochib berolasizmi,0
,Meni plastig kartamdan pul oʻtkaza olmayapman,0
,Plastikimdan boshqa kartaga otkaza olmayapman,0
,Assalwmu aleykum kartam bloklanib qoldi bima qilish kerak,0
,Assalomu alaykum mening nomimdagi ipoteka kreditining 2024 yil uchun tolangan kvitanciyalarim kerak edi.,0
,Kartami sms xizmatini yoqtirish kerag,0
,Kridit uchun ariza berdim u qachon javobi keladi,0
,Kartam bloklanib qoldi. Ochishga yordam berolasizmi,0
,Ilovadan kartaga pul oʻtqazolmayapman,0
,иш хакким онлайн коринмаяпти экан шунга ёрдаминшиз керак,0
,Интернет банкинг орнатиб бериш боича йозвотодим,0
,Kartami sms xizmatini yoqtirish kerag,0
,Man sqb bankdan viza kredit kartamni toliq yopmoqchiman ln manda ilova orqali 649 ming qarz korsatvotti,0
,Men telefon nomerimni almashtirgan edim. Kartani shu nomerga ulab bering,0
,Ман кредит тулов килишим кк. Озгина ердамиз кк,0
,Виртуальная доллар карта очиш учун ёрдам,0
,Humo karta raqamimga SMS habar ulamoqchiman,0
,Men biriňchi.kartaga ulanggan telefon raqamini oʻzgartirish kerak,0
,Assalamu allekum kartaga esemes habar yoqish kere,0
,Канчада жавобини билсе булади?,1
,Assalomu alaykum kartamni yo'qotib qo'ygandim endi uni qanday tiklasam bo'ladi. Topolmaydigan darajada yo'qolgan.,0
,Hamma plastik raqamim bir xil nomerda. Shu paytgacha muammo bo'lmagandi.,0
,Хумо картам булокланди илтимос очиб беринг,0
,Salom uzkrt pilastigim QSBilovasi orqalibloklagandim endi chiqorolmayabman,0
,Бу операциялар сизин банктан буляптими Или Мошенники ?,0
,Assalomu aleykum sbq ilovga uzum bank visa kartasi ulab bolmypdi,0
,Картам блокда Очиш кере,0
,Bugun borganimizda plastik karta qolmaganini aytishdi,0
,Assalomu alaykum kartamdan utkazma amalga oshmayapti,0
,kartamni nomerimga ulab kod qoʻymoqchiman,0
,Мени пластик картам блокланган еди,0
,Блок холатидан чикариб беринг,0
,3 кун аввал блок килдирган едим,0
,Картам уланган ракамни узгартирмокчи эдим,0
,Кредит расмийлаштирган едим шуни кўриб бера оласзми,0
,Kredit olishga ariza bergandik o'zim kafil bo'ldim,0
,kreditga ariza berudim xali javobi kemadi,0
,Пластигимни СМСга улаб беринг,0
,Qancha qarzdorligim bor bilib berolismi,0
,Shuni qanday qilib qancha qolgani qanchadan tòlaganimni bilishim kerak,0
,Kredit boʻyicha manda qarzdorlik bor,0
,Qanchaligini biliberolismi,0
,Мен картамдаги пулимни доллар килмокчиман шуни кандай амалга оширсам булади,0
,man mikro qarz omoxchidm 3 shax kafiligi blan uu odam qanaqb tasdiqlidi shunisiga chunmayamma,0
,Uzkart plastik kartockam payme orqali kodlab qoydim bankka keldim ochib bera olishmadi,0
,Мен банктан олган кредитларимди График асосида март ойига толанди,0
,Ассаламу алайкум Хумо картам блокда? Шуни очворила,0
,Kredit shu oy uchun tulanganini bilmoqchi edim,0
,Қанақа маълумотла кере бўлади?,0
,Boshqa qarzdorlik yoʻqmi ilova umuman ishlamayapti,0
,Plastik kartamdigi sms habarnomani yoqish kere keyin shu plastikka biriktirlgan nomer ozgartirish kere,0
,Tugallanmagan ariza chiqish sababini aniqlash kerak,0
,man kartamga ulangan telefon raqamni òzgartira olamanmi?,0
,Kreditimdan qarzdorlik koʻrib bersangiz,0
,Men birinchi ochilgan nomerni almashtirmoqchiman,0
,kartamni ichida qancha pul borligini bilib bera olasizlarmi?,0
,Ассалому алайкум картам блокка тушиб колди,0
,shunaqa deyabdi blokdan ochmoqchi bolsam,0
,Mikroqarz haqida malumot,1
,Kantraktmn 12 foizn qaytarb omoqcdm,0
,Vertual kartamni bloklagandim shuni ochmoqchi edim,0
,Kafillik asosida Mikroqarz olmoqchiman kafil tasdiqladi. 4-5kun boʻldi. Ariza holatini bilmoqchiman.,0
,telefon nomerimga plastik kartamni ulatmoqchi edim,0
,Kartam blokka tushib qolgan,0
,Plastic karta pin kodga Tushiba qoldi ochishni iloji bormi,0
,"Kridetlarimni tolagandim Lekin avtoyechib olyapti, hamda qarzdorlik chiqaryapti",0
,Salom kiriditni kartamdan yechmayapti,0
,Эски пластик картамдаги маблагни утказишга ариза бериб келгандим лекин маблаг хали пластик картамга тушмади,0
,Счетимга ташаберолислами пулимни?,0
,Ассалом алейкум кеча кеч курун визадан пул йечилган нега кайерга уланга шу нарсаларни текшириб бера оласизми,0
,Assalom alaykum men kartam pul ôtgasgan edim lekin pul menda ôtgan haqida chek bor biroq pul boshqa kartaga tushmagan,0
,Meni plastik kartamga ulangan sim karta yuqolib qoldi shuni boshqa sim kartaga oʼtgazish mumkunmi va qanday,0
,Meni kartamni blokdan chiqarishim kerak,0
,Bank kartam blokdan chiqarish keak,0
,Мени шу кунгача график буйича кечиктирилган кредитларимни хисоблаб берсангиз илтимос,0
,Assalomu alaykum kreditga ariza qoldirgan edim qancha vaqtda ko’rib chiqiladi,0
,Sms keladigan sim kartam oʻchgan kilik ishlatolmayman kartamni esa hech qaysi bankamat terminalida ishlatolmayapman,0
,Garovga avtomashinamni belgilab arizani yakunlashni bosganda ariza yakunlamagan ariza bo'lib qolyapti,0
,,
,kredit olganman 12mln 20 kun boldi 550ming sugurta tolovdim endi kreditni yopib yuboryabman sugurta pulimi malum miqdori qaytariladimi,0
,Assalom alekum pin kod xato feyapti kartani bugun olgandim oshani ozgartirib berolmaysizmi,0
,Salom katanikoloka ulolmayaman,0
,Nomerga unlangan karta ramlarimni bilishim kerak SQB KARTASI,0
,Assalamu alykum Mikro krditga kafilga qayerga tastiqlash kodi boradi ?,0
,Assalom Alekum Nurmurod aka qancha kredit utgan oyga va wu oy uchun tulawim kerak iltimos hisoblab bering,0
,Assalomu aleykum Hisob raqamimga pul otkazib qoydim bilmasdan Lekin korinmayabdi Shuni qaytarishni soramoqchi edim,0
,Asalom Aleykum Plastikni blokdan chiqarish,0
,Kreditimni bilmoqchi edim 50000000 million kredit olganman oylik toʻlovini bilmoqchiman,0
,Asalomu aleykum men ariza qoldiruvdim shuni natijasini bilmoqchiman,0
,Ассалому алейкум Картам блокланди Кандай килиб блокдан чикарса булади,0
,Kredit olmoqchi edim bunaqa yozuv chiqyapti Buni tuğirlash iloji bormi,0
,Semsaga qanday ulasam boladi Onlayin,0
,Картам блокланиб оган Хумо,0
,Бошка телефондан иккинши аккаунт ошмокчиман лекин паролни умитип колдим,0
,mani kartam blocklangan balansini ko’rib bera olasizmi humans kampaniyasidan pul tushishi kerak edi,0
,Kartani sms habarnomaga ulamoqchiman,1
,Menga telefon qiling Kartamni nomerini o'zgartirishim kerak,0
,Пластик картамни кодини эсимдан чикардим 4ракам куйиладику,0
,mani kartam blocklangan balansini ko’rib bera olasizmi humans kampaniyasidan pul tushishi kerak edi,0
,Meni humo kartam kodga tushdi Qanday ochsam bõladi Notõgʻri kod terilgan Yordam bering,0
,Notoʻgʻri karta raqamga pul tashlab yubordim shuni qaytarishni iloji bormi yordam berib yuboring shoxrux,0
,Kredit oliwga nechta kafil kerak 2ta kafil kirgzdm Knopka boslmayaptiku,0
,Менин кредитим бор еди шуни банкка бормасдан кандай тулов килсам булади,0
,Audioni eshitib koʻring iltimos Yoki operator nomerini yozib yuboring. Telefonda tushuntirardim,0
,Assalomu aleykum paymedan sqb dagi kartamdan boshqa kartaga pul tashavotgan edim lekin pul tushmadi,0
,Salomalekim Clik ulash karak Humo,0
,Assomu alaykum Kartam sms xabarnoma xizmati oʻchirilgan,0
,Assalomualeykum Kafil qanday qilib javob beradi,0
,Mening ismim Salomatov Oʻtkir mening Visa kartam oʻz-oʻzidan qarz holatga tushib qolgan Bunga nima sabab oʻlshi mumkun Javobingizni kutaman oldindan rahmat,0
,Kartamga sms ulanmagan deydi Humo,0
,Salomalekum Karta raqami almashtrish kerag ilovaga,0
,Ассаламу алайкум мен кредитимни тулай олмаяпман Жойида иловасида март ойи учун тулов куринмаяпти,0
,Kartaga ulangan telefon raqamni qanday ozgartirish mumkin,0
,Mikro qarz olmoqchi edim ilovadan ariza junatgan edim nimagadir javob ololmayapman,0
,"Men bugun kreditimni 10mln sumini to'lagan edim, shundan keyin kredit bo'limiga kirdim, lekin o'zgarmabdi, yarim soatda qilib qo'yaman deyushudi, shunga siz yordam bera olasizmi",0
,"Vaaleykum Assalom, raqamimni o'zgarturomayapman ilovada",0
,Менинг 8459 виртуал картамни блокдан очиш керак,0
,Nimaga to’lov amalga oshmadi Nimaga boshqa telegramdan yozganimga javob bermayapsan Instagramdan xam xozi yozding yoq bolib ketding\,0
,Assalomu alaykum Kartamdan qaysi banki pul yechivotkanini aytolmaysizmi,0
,Assalomu aleykum Oka only kridit olib bo'lmayabdi,1
,Assalomu aleykum Kreditimni koʻrib bera olasizmi,0
,"Идентификацияда ID картани эмас, паспорт серияси ва рақамини сўраяпти бунда ID карта малумотлари киритилади тўғрими?",0
,Assalomu alaykum kartaga bog’langan raqamimni o’zgartirish uchun ariza topshirgandim javobini bilmiqchi edim Ariza raqami: 131728,0
,Clik ulab berin Humo Карта ракамим 3425,0
,Assalomu alekum Plastikimni kod bo'lib qolgab Shuni ochishim kerak,0
,Ассалому алейкум. Хумо картамни смс хабарномасини бошка номерга утмозчи эдим буни факат банкдан кила оламанми?,0
,Online mikroqarzga nmaga ariza topwirbomayapti oxirgi etapida bosilmayapti,0
,Assalom aleykum Seetifikat parolni notogri deyapti,0
,Kredit undruv bolimideglani nomeri keregidi yoki +998998512291 nomerimga aloqaga ciqishi iloji bomi,0
,Assalom alekum Aka bugun humo karta olgandim Praggrammaga kirgiza olmayapman,0
,Assalom Men kartadan kartaga pul otgazgan payt elaykon kodni terib otkaziwni ocirmoqci man,0
,Mega Mastercar ga kim chiqim qilishim uchun yuzidagi sefir raqamlari kerak,0
,"Men bugun kreditimni 10mln sumini to'lagan edim, shundan keyin kredit bo'limiga kirdim, lekin o'zgarmabdi",0
,"Assalomualaykum, SQB ilovada mikroqarz uchun bergan arizamni topolmayapman. Savatda ham yo'q. 2 ta kafil tasdiqlagandi.",0
,Assalomu aleykum meni savolim shuki men mikroqarz ololmayapman,0
,Assalomu alekum Men sizlardan kredit karta olganman Shu haqida qisqacha bilmoqchi edim,0
,Assalomu alaykum man kredit olganman lekin tolovdan bir Kun otib ketdi lekin man qancha tolashim kerekligini ko'ra olmayabman,0
,10 mart kuni kredit ushlab qolinish keragidi Undirilmadi Kartadan undirilish keregidi,0
,Men 19 yoshdaman iyulda 20 ga toʻlaman Kredit olsam boʻladimi,1
,Assalomu alaykum kridet masalasida yordamingiz kerak kridet olmaqchi edim,0
,Assalomu alekum SQB mobile dan online mikroqarzga ariza topshirgandim taxminan qanchada javobi keladi?,0
,Menga Mastercar haqida malumot kerak,0
,Assalomu alekum Telefon orqali bogʻlanishni iloji bormi,1
,"Online mikroqarzga ariza bergan edim, arizangiz korib chiqilmoqda sizga 15 daqiqada javob berishadi deb javob kelmayabdi 1kundan beri",0
,Mikroqarz olishim kerak edi 20million shunga ariza jonatganman. Yordam bera olasizmi?,0
,Салом алейкум Ипотека кредити буйича маьлумот олмокчи эдим,0
,Meni nomimdagi kartalarni korib berolasizmi,0
,Sqb mobil ilovada kartammi blok qganidm. Endi xozir aktiv qlomayamman,0
,"Ilovada blokdan chiqarish dgan joyini bossam, bank bilan amaliyotlar ishlamayapti dvoti. Qanaq qlp kartammi aktiv qisam bòladi??",0
,SQB mobile dan mening omonatlarim bo’limiga kirsam ishlamayapti,0
,Assalomu alaykum Menga mikrokredit kerak edi,0
,Kecha kridit boyicha bor hamma narsani hal qip ketudim kecgacha tushadi diyishudi 1 kun boldi tushmayapti,0
,Ассалому алайкум Мен СКБ ИЛОВАГА кира олмаяпман,0
,Omonat rasmiylashtirilgan shunga kirolmayapman,0
,memga swift va iban nomer boyicha malumot kerak,0
,"Assalomu alaykum, kredit olmoqchi edim, sizning arizangiz yuborish uchun tayyor degan joyigacha yetib bordm, kredit so'mnasini tanladm shartlariga rozilik bildirdim, lekn bundan keyingi ajratishgacha borolmayapman ilova ishlamay qolyapti nima qilsam boladi",0
,Assalomu aleykum men kiridit olmoqchi edim hammasini toʻldirdim joʻnatishga kelganda ariza joʻnata olmayabman,0
,Man sanoatquriliw bank kartam bor eski raqamimga ulangan wuni hozir yangi nomermga ulatmoqchman,0
,Assalamu alaykum kreditim bo'yicha sverka qilib olishim kerak edi.,0
,salom nega men pul otkaza olmayabman,0
,Assalomu Aleykum kreditga ariza toldirgandim Lekin oxirgi bosqichida yubora ololmayapman,0
,Assalomu alaykum man kredit olganman lekin tolovdan bir Kun otib ketdi lekin man qancha tolashim kerekligini ko'ra olmayabman,0
,Karta raqamni almashtirmoqchiman Yuq sim kartaga ulangan nomerni,0
,Мени янги хумо картамни смс хабарини улаб беринг,0
,Assalom alaykum Men vertual karta ochgandim kodini bilmayabman Rekvizitlarini bilmayabman,0
,Ассалому алейкум Шу ариза буйича кредит ажратиладими,0
,Kredit javob bermaybdi Kredit ni ofisga borib olish kerak mi,0
,"20208000, 20210000 va 20214000 shu raqamlar bilan boshlanuvchi hisob raqamlar ochishim uchun nima qilishim kerak va buni SQB ilovasi orqali qila olamanmi",0
,Ассаламу алейкум Мастеркард скб мобиледа екринмаяпти Куринмаяпти,0
,Salom Sqb dan sms keldi olgan kreditingizni ilova orqali toʻlasa boʻladi deb lekin hali kredit kartamga tushmadi,0
,Vaalaykum assalom! Menga tranzit raqam va MFO kk qanday olsam boʻladi?,0
,"Mikro qarz olmoqchi edim, ilovada qandaydir tushunmovchilik boʻlyabdi",0
,Salom Men xumo kartamni sms xabarnomaga ulamoqchi edim,0
,Assalomu alaykum Oʻshani blokdan chiqarishga yordam bera olisizmi?,0
,Волекум ассалом Киридит олмокчи едим,0
,Ассолому алекум Яхшимисиз Менга хар ой канчадан тулов килганимни билли берсангиз,0
,Ассалаума алейкум Жойда праграмма дан humo картами блока куйиб едим,0
,Assalaumu alaykum qalisiz yaxshimisiz? Men SQBdan plastik ochtirganman mendan sms xizmati o'chirilib qolingan shuni Yana qaytadan ochtirib bera olazmi?,0
,Mani kridit bor ushani korib berin,0
,Kredit Sug'urta pulini qaytarib olish tartibi qanday,1
,qanaqa omonat turlari mavjud?,1
,Salom Mikroqarz olmoqchi edim,1
,Assalomu aleykum Humo kartamni sms xabarnoma xizmatiga ulamoqchi edim,0
